x_m,y_m
3.350000000000010303e+00,2.300000000000006040e+01
3.200000000000009948e+00,2.300000000000006040e+01
3.100000000000009415e+00,2.300000000000006040e+01
2.950000000000009059e+00,2.300000000000006040e+01
2.850000000000008971e+00,2.300000000000006040e+01
2.750000000000008882e+00,2.300314685314691587e+01
2.650000000000007905e+00,2.298997668997674992e+01
2.550000000000008260e+00,2.296981351981358443e+01
2.450000000000007727e+00,2.295198135198141642e+01
2.350000000000007638e+00,2.294580419580426067e+01
2.250000000000007550e+00,2.295000000000006324e+01
2.150000000000006573e+00,2.295000000000006324e+01
2.050000000000006484e+00,2.295000000000006324e+01
1.950000000000005729e+00,2.295000000000006324e+01
1.850000000000005418e+00,2.295000000000006324e+01
1.700000000000005507e+00,2.295000000000006324e+01
1.600000000000004752e+00,2.295000000000006324e+01
1.450000000000004841e+00,2.295000000000006324e+01
1.350000000000004086e+00,2.295000000000006324e+01
1.250000000000003997e+00,2.295000000000006324e+01
1.150000000000003464e+00,2.295734265734272128e+01
1.046853146853150118e+00,2.293065268065274509e+01
9.198135198135232171e-01,2.290967365967372160e+01
7.980186480186511888e-01,2.293065268065274509e+01
6.500000000000021316e-01,2.295419580419586936e+01
5.500000000000021538e-01,2.295000000000006324e+01
4.500000000000021205e-01,2.295000000000006324e+01
3.500000000000014211e-01,2.295000000000006324e+01
2.000000000000015099e-01,2.295000000000006324e+01
1.000000000000007550e-01,2.295000000000006324e+01
-4.999999999999913541e-02,2.295000000000006324e+01
-1.499999999999999112e-01,2.295000000000006324e+01
-2.999999999999997669e-01,2.295000000000006324e+01
-4.000000000000005773e-01,2.294685314685321131e+01
-5.000000000000004441e-01,2.296002331002337371e+01
-6.000000000000011990e-01,2.298018648018654275e+01
-7.000000000000010658e-01,2.299801864801870721e+01
-8.000000000000012657e-01,2.300419580419586651e+01
-9.000000000000016875e-01,2.300000000000006040e+01
-1.000000000000001776e+00,2.300000000000006040e+01
-1.100000000000002309e+00,2.300000000000006040e+01
-1.200000000000002398e+00,2.300000000000006040e+01
-1.300000000000002709e+00,2.300000000000006040e+01
-1.400000000000003020e+00,2.300000000000006040e+01
-1.500000000000003109e+00,2.300000000000006040e+01
-1.600000000000003419e+00,2.300000000000006040e+01
-1.700000000000003730e+00,2.300000000000006040e+01
-1.800000000000004263e+00,2.300000000000006040e+01
-1.900000000000004352e+00,2.300000000000006040e+01
